V,Cp,Ct,gen power [kW],aero thrust [kN],aero torque [kN-m],rotor RPM,blade pitch [deg],tip speed ratio
3,0.3343,0.8068,69.58,55.98,106.4,7,2.376,15.52
3.5,0.3636,0.7935,138.8,76.73,212.3,7,1.647,13.7
4,0.3929,0.7803,208.1,97.48,318.1,7,0.9182,11.88
4.5,0.4022,0.7678,307.6,122,437.9,7.344,0.536,11.07
5,0.4115,0.7553,407.2,146.5,557.6,7.687,0.1537,10.26
5.5,0.4126,0.7516,549.6,177.2,684.8,8.354,0.07684,10.13
6,0.4137,0.7479,692.1,207.9,812,9.021,0,9.997
6.5,0.414,0.7479,894.6,245.3,958,9.772,0,9.997
7,0.4142,0.7479,1097,282.7,1104,10.52,0,9.997
7.5,0.4125,0.7386,1363,320.9,1268,11.28,0.181,9.997
8,0.4108,0.7294,1629,359.1,1432,12.03,0.362,9.997
8.5,0.3975,0.678,1893,373.4,1586,12.6,1.241,9.872
9,0.3843,0.6266,2157,387.7,1739,13.16,2.12,9.747
9.5,0.3606,0.5657,2375,387.7,1891,13.33,2.969,9.368
10,0.3369,0.5047,2593,387.7,2043,13.5,3.818,8.988
10.5,0.3062,0.4476,2706,375.5,2132,13.5,4.776,8.576
11,0.2755,0.3905,2820,363.3,2222,13.5,5.734,8.165
11.5,0.2464,0.3452,2820,344.1,2222,13.5,6.789,7.839
12,0.2172,0.2998,2820,325,2222,13.5,7.844,7.513
12.5,0.193,0.2638,2820,309.1,2222,13.5,8.802,7.218
13,0.1689,0.2278,2820,293.2,2222,13.5,9.76,6.923
13.5,0.1524,0.2049,2820,281.8,2222,13.5,10.59,6.677
14,0.1359,0.182,2820,270.4,2222,13.5,11.41,6.432
14.5,0.1232,0.1646,2820,260.9,2222,13.5,12.18,6.218
15,0.1104,0.1473,2820,251.5,2222,13.5,12.94,6.004
15.5,0.1005,0.134,2820,243.6,2222,13.5,13.66,5.814
16,0.09059,0.1208,2820,235.6,2222,13.5,14.37,5.623
16.5,0.08318,0.1111,2820,229.1,2222,13.5,15.04,5.46
17,0.07578,0.1013,2820,222.6,2222,13.5,15.7,5.297
17.5,0.06967,0.09336,2820,216.8,2222,13.5,16.34,5.147
18,0.06356,0.0854,2820,211,2222,13.5,16.97,4.998
18.5,0.05883,0.07928,2820,206.2,2222,13.5,17.57,4.867
19,0.0541,0.07316,2820,201.4,2222,13.5,18.17,4.737
19.5,0.05024,0.0682,2820,197.1,2222,13.5,18.75,4.618
20,0.04637,0.06324,2820,192.9,2222,13.5,19.33,4.499
20.5,0.04313,0.05911,2820,189.2,2222,13.5,19.89,4.391
21,0.0399,0.05498,2820,185.5,2222,13.5,20.45,4.282
21.5,0.03737,0.05179,2820,182.5,2222,13.5,20.99,4.186
22,0.03485,0.04861,2820,179.5,2222,13.5,21.54,4.09
22.5,0.03253,0.04569,2820,176.6,2222,13.5,22.07,3.998
23,0.03021,0.04277,2820,173.8,2222,13.5,22.6,3.907
23.5,0.02851,0.04065,2820,171.7,2222,13.5,23.11,3.828
24,0.02681,0.03852,2820,169.5,2222,13.5,23.63,3.749
24.5,0.02511,0.0364,2820,167.3,2222,13.5,24.14,3.67
25,0.02341,0.03428,2820,165.2,2222,13.5,24.65,3.591
